objectId,id,MJD,FLT,FLUXCAL,FLUXCALERR
ZTF18acaqdaa,670093650115015005,58684.22937500011,g,1474.7893746396742,236.48860138384458
ZTF18acaqdaa,670093650115015005,58691.19847219996,r,1089.344387038295,122.11194565006228
ZTF18acaqdaa,670093650115015005,58694.2078009001,r,1036.471106840644,152.23083168627198
ZTF18acaqdaa,670093650115015005,58694.22687500017,g,1414.5946133664113,178.19355793179085
ZTF18acaqdaa,670093650115015005,58697.180208299775,r,1012.936918155626,161.45312371977073
ZTF18acaqdaa,670093650115015005,58700.17732639983,r,1064.9960573366284,159.80821684298184
ZTF18acaqdaa,670093650115015005,58705.180081000086,r,1199.724699379574,170.97304446331805
ZTF18acaqdaa,670093650115015005,58708.17759260023,g,1325.8109451882806,225.57385274379843
ZTF18acaqdaa,670093650115015005,58714.35042819986,r,1500.928485581692,352.5801845475664
ZTF18acaqdaa,670093650115015005,58718.177615699824,g,1085.8704131207908,155.40983671912508
ZTF18acaqdaa,670093650115015005,58723.18541669985,g,1125.3737998464876,168.55113360110047
ZTF18acaqdaa,670093650115015005,58723.33193290001,r,928.1966571547699,200.51026504460074
ZTF18acaqdaa,670093650115015005,58726.151284699794,g,1253.0453811919092,164.0854879404075
ZTF18acaqdaa,670093650115015005,58734.14365739981,r,945.8886189204743,189.74479613659784
ZTF18acaqdaa,670093650115015005,58734.21103010001,g,1166.1649923704026,291.1042465107218
ZTF18acaqdaa,670093650115015005,58737.13082179986,g,1235.2646123396946,269.20880938324245
ZTF18acaqdaa,670093650115015005,58740.12497689994,g,1322.7567914058952,285.69127399460433
ZTF18acaqdaa,670093650115015005,58743.14115739986,g,1099.1070662726345,267.4720367375346
ZTF18acaqdaa,670093650115015005,58747.14186340012,g,1084.5340708234496,198.62028186427287
ZTF18acaqdaa,670093650115015005,58750.140173600055,g,1131.3578641195618,226.87376727782149
ZTF18acaqdaa,670093650115015005,58758.14363430021,g,1084.9257074936352,224.7422630628922
ZTF18acaqdaa,670093650115015005,58764.19952550018,g,1288.6055573805272,291.10473228734617
ZTF18acaqdaa,670093650115015005,58771.11431710003,g,1363.2013264220077,371.07822828154576
ZTF18acaqdaa,670093650115015005,58778.121712999884,g,1094.9240622304899,167.31822679829878
ZTF18acaqdaa,670093650115015005,58781.11171300011,g,980.0314211685411,329.11534744661077
ZTF18acaqdaa,670093650115015005,58785.11546299979,g,1275.0511285876607,250.2709174743288
ZTF18acaqdaa,670093650115015005,58873.556504600216,g,1086.1414804470498,147.469158895626
ZTF18acaqdaa,670093650115015005,58876.53535880009,g,1035.2661162516613,175.3649035111814
ZTF18acaqdaa,670093650115015005,58879.50646989979,g,928.6242059511877,281.66835011438036
ZTF18acaqdaa,670093650115015005,58891.47421299992,g,1372.5241666259055,384.34478278851054
ZTF18acaqdaa,670093650115015005,58894.55839119991,g,988.9173581717411,201.9121710553684
ZTF18acaqdaa,670093650115015005,58898.52467590012,r,692.659826866729,151.86790509340116
ZTF18acaqdaa,670093650115015005,58898.559756900184,g,694.7683083290683,156.23938048885347
ZTF18acaqdaa,670093650115015005,58904.52513890015,r,711.0170252443183,187.3246402229075
ZTF18acaqdaa,670093650115015005,58908.54083329998,g,876.7068502952704,156.02735230321903
ZTF18acaqdaa,670093650115015005,58908.54083329998,g,876.6777816105973,156.02207398653175
