candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
2135492740015010000,45.5922109,1,2459889.9927431,19.109716,ZTF18aahqkbt,123.8609089,0.105799265
2134458250515010003,1.6927872,1,2459888.9582523,16.476114,ZTF18acpdvos,151.7119968,0.042670615
2128515540015010003,45.5921912,1,2459883.015544,19.166399,ZTF18aahqkbt,123.860928,0.14784177
2127463480515010009,1.6927773,1,2459881.9634838,16.4643,ZTF18acpdvos,151.7119999,0.03134494
2125464460515010021,1.6927926,1,2459879.9644676,16.478992,ZTF18acpdvos,151.7119805,0.034767926000000005
2124448310015010001,45.5922049,1,2459878.9483102,19.197962,ZTF18aahqkbt,123.8608671,0.09294182000000001
2120490410015010001,45.5921666,2,2459874.9904167,19.661108,ZTF18aahqkbt,123.8608821,0.13328442000000001
2120445050015010001,45.5921937,1,2459874.9450579,19.127853,ZTF18aahqkbt,123.8608834,0.06995028
2120444083915010001,34.262096,1,2459874.9440856,19.896488,ZTF18aabtxvd,119.2272849,0.15816349
2118469250015010000,45.5921812,1,2459872.9692593,19.11412,ZTF18aahqkbt,123.8609002,0.08773526
2117495313915010000,34.2621589,1,2459871.9953125,19.80114,ZTF18aabtxvd,119.2272015,0.21052985
2108430370015010000,45.5922032,1,2459862.9303704,19.149614,ZTF18aahqkbt,123.8609804,0.15943469999999998
2106488200015010000,45.5921837,1,2459860.988206,19.102571,ZTF18aahqkbt,123.8609156,0.12380459
2104505551315010000,45.5922422,2,2459859.0055556,18.778961,ZTF18aahqkbt,123.8609847,0.11325046400000001
2104477690015010000,45.5922176,1,2459858.9776968,19.242296,ZTF18aahqkbt,123.8609161,0.08033147
2104467683915010000,34.2621696,1,2459858.9676852,19.894236,ZTF18aabtxvd,119.2272456,0.13868758
2102445233915010000,34.2620775,1,2459856.9452315,19.960247,ZTF18aabtxvd,119.2272461,0.19685383
2092493703915010000,34.2622148,1,2459846.9937037,20.013132,ZTF18aabtxvd,119.2271519,0.17379944
2092493210015010000,45.5921935,1,2459846.9932176,19.03384,ZTF18aahqkbt,123.8609473,0.09189021600000001
2071500821315010000,45.5922297,2,2459826.0008218,18.87485,ZTF18aahqkbt,123.8608634,0.12433801
2065498090015010000,45.592235,2,2459819.9980903,19.659374,ZTF18aahqkbt,123.8609285,0.21249579000000002
2056288900815015018,85.0088326,2,2459810.7889005,19.337101,ZTF20abfcszi,7.8062017,0.18330094
1961237310515010007,1.6927869,1,2459715.7373148,16.460693,ZTF18acpdvos,151.7119906,0.030953135000000003
1948175301315010000,45.5922582,2,2459702.6753009,18.876453,ZTF18aahqkbt,123.861109,0.14203113
1946197820015010000,45.5922258,1,2459700.6978241,19.183414,ZTF18aahqkbt,123.8609463,0.09558377
1943200903915010000,34.2621301,1,2459697.7009028,19.78988,ZTF18aabtxvd,119.227281,0.16101727
1942176920015010000,45.5922168,1,2459696.6769213,19.122408,ZTF18aahqkbt,123.8609637,0.08255464600000001
1941270750515010007,1.6927973,1,2459695.7707523,16.538065,ZTF18acpdvos,151.7119843,0.08082343
1940265060015010000,45.5922065,1,2459694.7650694,19.110733,ZTF18aahqkbt,123.8609615,0.118930794
1936262410015010000,45.5921964,1,2459690.762419,19.071192,ZTF18aahqkbt,123.8609731,0.102991596
1934183260015010000,45.5922114,1,2459688.6832639,19.171345,ZTF18aahqkbt,123.8609925,0.0932509
1929283190015010000,45.5922484,1,2459683.7831944,19.080524,ZTF18aahqkbt,123.8610849,0.15586752
1929166671315010001,45.5922126,2,2459683.6666782,18.614548,ZTF18aahqkbt,123.8611715,0.15502883
1924218831315010000,45.5922258,2,2459678.718831,19.176773,ZTF18aahqkbt,123.8609923,0.21053621
1924181920015010000,45.592194,1,2459678.6819213,19.051516,ZTF18aahqkbt,123.8609293,0.10002951
1922196700015010000,45.5922273,1,2459676.6967014,19.235634,ZTF18aahqkbt,123.8610236,0.10090391
1922195713915010000,34.2621039,1,2459676.6957176,20.05536,ZTF18aabtxvd,119.2272316,0.20521662000000002
1922174251315010001,45.5922001,2,2459676.6742593,18.799366,ZTF18aahqkbt,123.8611435,0.14796239
1920361040515010008,1.6927917,1,2459674.8610417,16.465403,ZTF18acpdvos,151.71199,0.034076504
1920178573915010000,34.2621333,1,2459674.6785764,19.891045,ZTF18aabtxvd,119.2272539,0.13800831
1920176640015010000,45.5922152,1,2459674.6766435,19.36252,ZTF18aahqkbt,123.8609862,0.07910184
1918156383915010000,34.2620958,1,2459672.6563889,19.972893,ZTF18aabtxvd,119.2272575,0.15148534
1917283630015010000,45.5922643,1,2459671.7836343,19.364557,ZTF18aahqkbt,123.8609503,0.11077459
1886195250015010001,45.5922381,1,2459640.6952546,19.206303,ZTF18aahqkbt,123.8609068,0.07394397
1886193173915010000,34.2620973,1,2459640.6931713,19.981974,ZTF18aabtxvd,119.2273559,0.16911116
1884343550015010000,45.5921802,1,2459638.8435532,19.132294,ZTF18aahqkbt,123.8608602,0.14098899
1882221600015010000,45.5922355,1,2459636.7216088,19.11588,ZTF18aahqkbt,123.8609108,0.072271705
1882191573915010000,34.2621021,1,2459636.6915741,20.018856,ZTF18aabtxvd,119.2272828,0.15765
1875389830015010000,45.592279,1,2459629.889838,19.048943,ZTF18aahqkbt,123.8609307,0.14922993
1870266210015010000,45.5922368,1,2459624.7662153,18.939125,ZTF18aahqkbt,123.86095159999999,0.17419577
1868264560015010001,45.59223,1,2459622.7645602,19.192963,ZTF18aahqkbt,123.8609034,0.16710544
1796457150515010024,1.6927865,1,2459550.9571528,16.486984,ZTF18acpdvos,151.7119943,0.032527799999999996
1796302400015010001,45.5922393,1,2459550.8024074,19.220396,ZTF18aahqkbt,123.8608754,0.07220156
1782434060015010000,45.5922619,1,2459536.9340625,19.114265,ZTF18aahqkbt,123.8608251,0.15399121
1777430820015010000,45.5921866,2,2459531.9308218,19.898977,ZTF18aahqkbt,123.8607764,0.18600355000000002
1777392650015010000,45.592204100000004,1,2459531.8926505,19.180836,ZTF18aahqkbt,123.8609517,0.08821159
1777381093915010000,34.2621655,1,2459531.8810995,20.062525,ZTF18aabtxvd,119.2272612,0.18092918
