id,type,a_g,b_g,c_g,snratio_g,mse_g,nrise_g,a_r,b_r,c_r,snratio_r,mse_r,nrise_r,chisq_g,chisq_r
ZTF17aaazdba,TDE,0.15879056410566492,16.382929530618654,76369.42638705528,123.15624820988404,0.00027421061836257663,8,0.09546729176111371,7.656705195913665,72717.3160933822,154.7311648026981,0.0003870013157436297,5,0.03539498892622883,0.0127588695111624
ZTF18aahqkbt,TDE,0.0,0.0,0.0,0.1,100000000.0,0,5.64803789772603,-0.14454442995029076,5972.0546686014395,29.9494368074321,0.00010456113825455901,5,100000000.0,0.0024537728224513075
ZTF18aakelin,TDE,0.1401525687751669,14.724112622343968,1472.1705025147953,7.807403084416649,1.812541880346372e-05,24,0.08013656816851383,10.658200350705785,1299.8746783935846,7.4876003599472485,0.00014983129866167396,17,0.01365769001184952,0.04997419222900665
ZTF18acaqdaa,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.0,0.0,0.0,0.1,100000000.0,0,100000000.0,100000000.0
ZTF18acnbpmd,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.06353671139516053,-7.269892222865121,2725.4746574906276,8.43071489891039,7.042099349871498e-05,7,100000000.0,0.0036884629273244525
ZTF18acpdvos,TDE,1.165395951177188,1.5872055386790536,4210.858529631743,30.3378558067692,0.0005775558927014616,5,0.0,0.0,0.0,0.1,100000000.0,0,0.012318698047596976,100000000.0
ZTF19aapreis,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.07503428648483595,11.453954233708895,8884.621181443712,34.096719030291254,3.632328101399106e-05,4,100000000.0,0.0005629861995770282
ZTF19aarioci,TDE,0.31690039905655193,12.890773330262617,5643.217371691964,33.29642570455392,3.586891965464716e-05,11,0.2837527219071683,7.809178326967699,4842.41258313161,26.570204981697565,7.085693345849258e-06,11,0.03909961487109962,0.0008905789959567933
ZTF19abzrhgq,TDE,0.14486161885440713,21.87930248034352,84017.28225959891,92.50584530908782,6.82592570916597e-05,10,0.14821450570152891,22.167950596705662,85104.34376361479,82.77112167876103,6.854851495066878e-05,6,0.012749518233157864,0.0109709707752733
ZTF19accmaxo,TDE,0.1681065770568154,15.844728875472143,1752.3951653414406,8.56552573542802,2.652628108121344e-05,22,0.13560672092935444,16.2818082370417,1703.07105373767,7.998919169884186,3.7753751434825655e-05,18,0.027193356810436897,0.018193401060986776
ZTF19acspeuw,TDE,0.01781578492460135,340.7680256118366,1127738.7795015604,11.149792346197216,0.00016195103702518809,4,0.0,0.0,0.0,0.1,100000000.0,0,0.002538084713836558,100000000.0
ZTF20aabqihu,TDE,0.125486220651198,6.554101238829579,4758.700766377542,16.990281798167626,8.433484319388929e-05,5,0.07655967853256647,114.74808285174463,7580852.432888461,18.290771312628944,0.0003161004704399815,4,0.002674496461101988,0.004760550710542333
ZTF20aamqmfk,TDE,0.13037024297800337,14.806231802328382,1922.2932998327608,10.058073747572765,1.1785883079050546e-05,28,0.12239482672939071,9.202288224205951,1213.0853263777944,9.684831453901019,1.014549148573347e-05,22,0.008108052121135351,0.0053524415934579385
ZTF20abefeab,TDE,0.233936503394111,11.177395537043193,2883.3395974381156,23.8886531684072,2.096695248746399e-05,10,0.19921515701035963,11.517606128070803,2540.163742850646,23.977329843473893,5.380975014773333e-05,9,0.004596804959029242,0.003711078305496739
ZTF20abfcszi,TDE,0.06844092198604089,21.1731198137725,5352.718545440756,22.26968995874437,4.498059923338065e-06,21,-39.863304899916194,4312.886495201665,2842.6391327655833,20.32462117504067,0.0003086891232109915,24,0.0029498846647703545,0.1778049349695311
ZTF20abjwvae,TDE,0.10984371696388462,13.52511677138988,3297.74484770677,22.5646063683309,9.590656216331665e-06,17,0.14072045778496406,7.733399641955129,2582.3875279334684,18.889990230859816,2.5488694968817023e-05,16,0.003033895292055722,0.006527050746157743
ZTF20abnorit,TDE,0.0,0.0,0.0,0.1,100000000.0,0,0.05948930092597195,11.903806134994694,2631.768346216204,11.641924523370076,4.101614887206396e-05,9,100000000.0,0.0025841946842161245
ZTF20abrnwfc,TDE,0.1128569079779819,28.191072930994004,14213.750838526981,6.565911627460845,0.0001925802054166573,7,0.2511738673007715,-0.54596500792382,1199.700094877246,5.781317563665888,0.0002252544475346518,5,0.014333716672460335,0.005586777226670823
ZTF20acitpfz,TDE,0.14770402407705804,16.635132358256197,8883.863018699936,32.636377976867394,5.736563912643945e-05,14,0.13431447578047304,22.188100808044712,9217.904955887632,27.622479040187446,8.770804185521921e-05,13,0.010296925399849608,0.0182081807598451
ZTF20acqoiyt,TDE,0.14776592843185118,20.633043783731203,9595.466974647343,23.008764054099522,6.562684693290372e-05,14,0.0978657496200167,33.552407396000284,23079.325227989284,18.07555107595821,9.757194128634122e-05,10,0.025413649710603926,0.02199885511614236
batchfp_req0000167802_lc.txt,TDE,0.2279416832877218,13.222090240559801,4943.831321151361,13.113364642989634,1.0770781672396922e-05,8,0.13677597929147953,73.38472933136151,11040032.504456358,7.440726249106473,0.0025902656887447305,4,0.0014351566407298376,0.04527734717379721
batchfp_req0000167805_lc.txt,TDE,0.03332593021795809,70.00486288573046,9658.574908078399,8.588338907034638,0.00011620663544755915,9,0.046970558008339436,45.72868981561245,4290.04954191285,6.151946202245813,5.1241704071547686e-05,12,0.009656369481377311,0.006967442009720367
batchfp_req0000167806_lc.txt,TDE,0.19746194922958754,8.631240744986712,3344.4120762339758,13.506720503762992,9.000280315184345e-05,4,0.3434141899609251,2.408232095194089,1508.4159630089925,7.332880287294348,0.00011336710656006386,4,0.0011311663500584207,0.0030503701349562074
