objId,alertId,type,nb_points,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,data_origin
ZTF20abtkjfw,1333492874215015010,SN Ic,10,6490.531671117189,2459079.1787995286,1.633287505380389,2.0329503219397296,4398.937886082918,1.7859891687663196,0.18623646413539535,0.06798539313169091,0.22433776796811944,99.69169841849543,0.019463581381447798,0.24026398060994358,3.550527913604697,12.14275192668967,tns
ZTF20abtnpwt,1335321465215015011,SN Ia,16,2961.282208405294,2459081.95829392,2.043818625794796,2.3449340843352187,10388.798532112816,0.33493066490135986,0.5264168858498787,0.2826523658131109,0.38410273377546184,1100.4566876807112,0.279781095387084,0.2589398184939835,2.244844790181324,2.924824531182344,tns
ZTF20abtsecq,1338301181815015001,SN Ia,22,2606.952497008423,2459080.722421575,1.575920033264359,2.944657161165582,8461.871406125458,0.29965947518188873,0.5869265472085448,0.11509504860922984,0.6207037565958097,589.0547527315966,0.21656810469762083,0.20458637460431753,2.53901081396128,1.507435530438372,tns
ZTF20abtzhfc,1332327902815015020,SN Ia,8,1257.4975312559627,2459077.276954323,1.989259404458144,4.214590383966322,9064.356144123876,0.1381645161793352,2.1772930680361586,0.523331132158297,2.2083226935690754,1529.2358660163354,0.16682120848345408,0.2561176394874281,1.2620126944589862,1.6868080079857388,tns
ZTF20abucjsa,1337282874915015002,SN Ia,29,5068.040629622883,2459082.398359839,1.4109414405978913,2.60437669398457,6707.180864696492,0.372490714027033,0.32902988210618006,0.06324641429913176,0.33516595100767876,227.41304695940698,0.1802653565020856,0.24941776318792902,1.7563670924868025,3.3915419759477703,tns
ZTF20abucvpo,1338343032115015004,SN Ia,32,14750.904949433916,2459086.493663897,1.9693460649067518,2.43373490961951,9854.547435364459,1.630899917377609,0.19388478356135644,0.07679626144421957,0.07206160003020931,309.9991281774228,0.3360630139299743,0.22405166775153854,8.463144758071591,8.063496520602522,tns
ZTF20abuojuw,1338132393215015009,SN Ia,10,2921.3308804238814,2459083.432980908,1.7832389299035494,2.7362369483904496,8602.38420247696,0.08689421503392751,0.6812740669846706,0.172728623772242,0.6960298733658679,862.741985336087,0.23884036809366127,0.21378009673541168,2.160537096413114,2.0142689960791706,tns
ZTF20abupbub,1338308710315015005,SN Ia,33,6402.651495753442,2459085.192032778,1.7782209240151194,2.6781045703717337,7862.661932368966,0.45092425232612326,0.28114627349398114,0.07192670416841136,0.14481468780332005,226.6746200591383,0.28960284668473485,0.3055090762353735,4.917297307151801,6.023083061111213,tns
ZTF20abushtf,1337488986015015008,SN Ia,23,2813.6041798322763,2459079.801251038,1.6602903137086753,2.3759891267256386,8353.15768798509,0.15093823378006951,0.5201965838388068,0.1000599866992102,0.7071740983330135,425.339611345963,0.10874913744410268,0.1389551313917789,1.4553378831101356,1.669585400866071,tns
ZTF20abvowvw,1338365262515015000,SN Ia,12,9543.224255382196,2459087.7723331368,2.682096998318556,2.2744687042861456,12441.339551203228,0.6394485468567646,0.39031518762517975,0.4051187156109561,0.1824810291253237,1523.8839011830696,0.32063070415404105,0.0004926402446301659,6.2824083213445165,0.6408264172974256,tns
