objectId,alertId,type,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,sigmoid_dist,snr_rise_time,snr_amplitude,Fvar,nb_points
ZTF24acadyyl,"[2921198702615015000 2925180872615015001 2940197962615015001
 2927087432615015001 2925218702615015000 2932194392615015001
 2927128312615015000 2934133172615015000 2940177682615015002
 2936174812615015000 2938207632615015002]",SN candidate,2460675.381490014,2697.6153804001,2.580628697839931,6567.469633277973,0.49169524854673047,0.8140013136047595,140.77256464121135,0.8590468959145543,526.2518523578915,106.82583412652647,339.9175995737125,1.294094689198629,2.060990328676085,7.485181034354239,3.004060325592068,19.16293410776129,0.0,11.0
ZTF24acacfhu,"[2936542070915015006 2941431180915015011 2934470920915015007
 2924520520915015025 2936520690915015009 2926561870915015007
 2920557090915015018 2932444940915015005 2934515820915015007]",SN candidate,2460676.4062083126,14063.61929541428,2.585935974715429,9793.889915297801,0.9341758405580458,0.41284113343896756,1282.4846837705422,0.4713889224134936,769.6315611059927,1774.2924301734072,171.5451382364978,3.8610962319952593,2.645876327267277,7.550446909120005,5.485780110138213,10.965915985886733,0.0,9.0
ZTF25aabreke,"[2941475131115015008 2934527911115015003 2939541891115015011
 2932443531115015005 2941513711115015008 2936528051115015002]",SN candidate,2460689.602283266,32611.56888735974,3.8897840263208976,11755.784951824458,0.4717739588925487,1.7784450144788313,10092.74615866617,1.6096026487646615,1265.6935332989824,1566.3460976024116,2618.357255688538,5.001360378277263,7.214264529397226,1.64827455470183,2.416611347717544,3.231188853328854,0.0,6.0
ZTF25aabsnwc,"[2941492762215015003 2937515422215015003 2933514352215015005
 2937498682215015008 2939530202215015008 2941507542215015009
 2939490052215015005]",SN candidate,2460687.420300213,23013.956938662213,3.6054287800934395,9622.266573871704,0.1754057846643067,0.7248039294213866,2733.4310716421683,1.3394964695728182,545.2448104869418,523.7991252602554,1699.8856408939973,1.7922844877610293,6.7141162401246195,2.3817544626943215,2.6916299236258943,8.419439281794684,0.0,7.0
ZTF24abzekcl,"[2913377000715015012 2934362780715015003 2926325260715015005
 2944246870715015004 2921437220715015006 2937283320715015002
 2932358530715015002 2944220870715015003 2913488740715015006
 2934335110715015000]",Unknown,2460369.007986533,6795695.478476199,290.8781610556516,3170.878468059629,1.0376455242972134,434.3589413268344,477706.39305366966,58.69009674183443,15.360368016307802,7229.526884525576,15355.988617035613,8.197965838574087,3.4212150200583635,1.1335979547949282,4.956171095358121,14.225674132254522,0.0,10.0
ZTF25aaadytl,"[2944328481115015003 2932363961115015000 2932257441115015001
 2926329531115015006 2940405381115015003 2942348251115015006
 2938307361115015004 2944155311115015000 2934426421115015001
 2934235571115015003 2940265751115015001 2936326571115015002
 2936363251115015001]",SN candidate,2460684.9182958994,22634.001005144342,4.229131720836114,5624.597547151814,1.3159446139568953,0.3941599628905178,736.7637774427392,0.38466398249850997,124.86188456911259,2245.2823171690748,2368.583698919509,4.719970725577811,3.7978295676611395,3.28913564739524,10.994353288203936,30.720838480558232,0.0,13.0
ZTF25aaazubi,"[2939507834115015015 2941495714115015008 2937554834115015153
 2937472684115015011 2927558134115015013 2933517694115015008]",Unknown,2460684.795902329,19542.428534438634,2.769515784624535,6379.101937089663,0.10676544123884994,0.5813409888902838,901.4097712186705,0.46376137766078074,409.6274158490355,0.0,3814.708135742341,0.0,3.816709102802241,4.043961523214417,5.971855178182396,21.679849895589705,0.0,6.0
ZTF25aaatsux,"[2935131810115015027 2945124670115015013 2940109870115015005
 2940140090115015019 2933159160115015006 2927110030115015009
 2937193920115015005 2937154280115015005 2935118630115015009]",SN candidate,2460683.7243932374,5750.697323084845,3.8995731428538125,9881.74599192682,0.4432037340930071,1.470441357413967,1326.5437445848252,1.615324544318547,1401.0593603657107,182.82025249518088,663.7588471340613,0.9410417281852728,2.328616677364473,4.077441832823596,2.4141112425793763,4.335098142492594,0.0,9.0
ZTF25aabmhly,"[2938380156015015004 2940418996015015009 2930397226015015009
 2930435756015015011 2940376556015015003 2938441086015015007]",SN candidate,2460690.5906345854,643174.1455287527,1.9599826199274815,10533.114530422057,0.2200689321212717,0.3046099372484623,40419.878992721,0.08223169918574866,409.25283366011445,115190.36512657338,107474.07632362668,11.88737867289257,9.205037467979281,2.2083657633965306,23.8348792416436,15.912322390786436,0.0,6.0
ZTF24abzxalv,"[2920571562415015003 2930565336015015007 2922577346015015008
 2920571092415015010 2923574566015015004 2925568612415015005
 2930574386015015008 2922576406015015008 2925565702415015006
 2923575496015015005 2922576876015015009 2921578046015015091]",Unknown,2460681.325539732,211626.97174335623,12.065496507098976,6115.474455198576,0.22083071628638082,2.0706876773381944,19360.171116917994,1.0674125504865382,4185.2342058028225,-999.0,10313.185630314269,-999.0,7.864629628534614,0.31070804801504603,11.303498822080922,10.93104861859536,0.0,12.0
