objId,alertId,type,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,sigmoid_dist,snr_rise_time,snr_amplitude,Fvar,nb_points,data_origin
ZTF18abmkcvp,2105152195615015005,Unknown,5450.895201875028,2460366.9569831705,2.034130255652348,18.343850751963274,10086.179798710704,0.3321678698779884,2.6836133509956674,0.16679787584988168,2.9247343305454576,591.9956856195095,0.22779821534924974,0.12481503818214477,1.5673824933454605,2.2863357401282256,3.8151665359477582,6.271971631878844,12.195180815630218,0.17150106542407573,23.0,extragal
ZTF18abmwzoy,2289470332715015004,Seyfert_1,37967.581079101365,2460305.7736803438,3.5487746778603553,38.301319196464036,14704.938644721758,0.6767330225927064,5.7845918569528285,0.5244781400330714,12.660062689932637,925.3815252196146,0.11834807263356485,0.07381690848761836,3.8059070273156,7.288423878956654,2.433658083115799,3.025365682187458,6.766296642290153,0.2980604874743383,13.0,extragal
ZTF18absciim,1038181304415010001,Seyfert_1,12040.938202062534,2459026.034800065,1.929493116905129,24.321796549969957,10002.8820946625,0.6570167947892507,1.6929038385438961,0.04922435042899292,2.3960623916879005,190.96536086668402,0.13066018805109827,0.1015333037684086,4.135227697803784,3.186333494252162,3.938628811319097,10.150735905018118,39.19793963941607,0.16479630955216146,83.0,extragal
ZTF18abtidtw,1243381203915010001,Unknown,1608.9057197632428,2459688.83610205,2.3083482191489235,40.95723608218503,10612.87520036848,0.31344352228692346,16.87964315204989,0.6059791597326676,22.4157357211376,1193.5322770567382,0.13921557542722146,0.09045766949643685,1.110051201961977,0.7840924988464756,1.8551618228708937,1.827164479083466,3.8092864780486333,0.06965719467153227,26.0,extragal
ZTF18acdyabm,1763223711015015021,Seyfert_1,6000.9853086739895,2459811.2091713287,2.053544818041399,20.86312425427548,11178.075516422332,0.9633235436385664,13.752451928186984,0.11223320898730675,9.219673409919965,453.95136734011794,0.07260760368983311,0.0776224097215749,3.4261233616750313,2.8098813638054163,5.918997488891756,2.262891897214892,18.29712289767683,0.25708496006323733,47.0,extragal
ZTF18acvvtfi,2267211283115010005,Unknown,5242.422318474382,2459204.188402114,2.97854887918795,46.155734500188245,10338.551263673247,3.0017205618873866,63.95564513710032,1.71075588088236,22.981450201171302,1930.0269849108345,0.043337366207866955,0.25809822053675363,3.449180526417146,1.9663466841011163,0.4916459684119944,2.008390858547117,1.7410718340782192,0.1580970705532818,7.0,extragal
ZTF19aaapbyq,1537290061015010001,QSO,10768.79101447048,2460355.3674720977,2.5979099119735185,55.12278974333037,11636.473421944878,0.7650750374717954,12.421432310288196,0.5041055625307167,29.54953943012302,535.9126930037291,0.10240925519112472,0.10245893759211222,4.016987911494603,3.924361670049776,1.8560577499526338,1.8654365112417892,5.1535037600685465,0.35638033287631826,33.0,extragal
ZTF19aaapcjk,1233210325115015029,Unknown,3839.9562640734075,2459212.181997451,2.638835500149384,22.7491011619872,13303.767981864694,0.38872239543566284,7.519560943173346,0.37247568357054067,8.105314161404282,1175.5962936057422,0.10390941166969424,0.11313311513003768,3.769831742021972,2.6546885084897482,4.905487577482509,2.806689624729588,7.084584622688887,0.35052555732531687,31.0,extragal
ZTF19aapfxij,2361407765715010002,QSO,1837.9541444346614,2459455.01154212,2.5672195812458196,17.420730852713575,13240.99647573012,0.1984415053565357,5.373465861335668,0.8084505278186901,9.656658254552642,2758.3523016709933,0.16772751051395285,0.09019637934007442,1.0434916053091998,0.7758490218458152,4.286180017999879,1.804012360538963,3.1754813595985008,0.1884606638834228,17.0,extragal
ZTF19abkfgxu,1300473514315015015,Unknown,2145.2699172641587,2458845.323366706,8.217973699692275,91.57189587772378,17742.409872896096,0.391289121592538,77.87503545973644,3.175927074461924,36.90203680456609,3067.31414097596,0.1463692421180278,0.06807606421172081,1.4055494528532337,1.2901704553040265,0.05827364545674971,2.4814862215516813,2.587582619819629,0.0,16.0,extragal
ZTF20aajbwnq,1596203942515015008,Blue,1489.35077604051,2458958.8306159624,6.125916651958341,88.93355006599802,15897.142220982574,0.2369537622591429,81.22114864119479,2.8142333788114975,35.55184151531072,2888.7134930685597,0.14122849667158346,0.14144398410362755,1.2105696188535913,0.42192689578696435,0.24535690323397571,2.501517397564286,2.1767621328354183,0.0,15.0,extragal
ZTF20aapbzsl,2110153280015015000,Unknown,1137.8640252246441,2458896.2488754266,1.7870341460713772,22.720989441155155,10671.18210832933,0.3543596917682604,10.213087977711108,0.22124981430118817,14.765008105192573,919.6845267748449,0.09948998526849491,0.07232367235365621,0.8649637788457774,0.4662607799783881,4.516757971267756,1.5388402958725511,8.07699726987649,0.0,53.0,extragal
ZTF20acxnggi,2215163310715015004,QSO,5838.338168473456,2459832.768220367,2.9813703896606816,52.8393995812948,12576.56069994881,0.8828711485698757,21.83912268012016,0.7706920167871726,22.318985006327093,1054.2692074833885,0.1321747232926235,0.08744793624242382,2.2933274834675976,1.7098222166131096,1.7054120475881567,2.367464271619683,3.8684329469108674,0.2778228553246831,34.0,extragal
ZTF23abprvfl,2505357524015015009,SN candidate,4114.8467744278605,2460258.8954733172,2.348392411482448,1.7030466742339987,10190.526963636235,0.15179923292050396,0.6183655466829272,0.43932981050937336,0.6318352910863234,1110.036755872754,0.23975291710374946,0.11536203111930449,3.7842946816217293,0.33817810178185326,1.786260252663904,2.6953965665734283,5.345397365044828,0.0,5.0,extragal
ZTF17aabxkhe,1921223960215015000,Seyfert_1,12631.453216727095,2459614.9911678014,2.120651569233982,12.998389920546956,11895.226890274942,0.7065450922767257,2.2768493253919937,0.10789920157190466,2.222104118981599,392.0851152683099,0.1144657853778516,0.08632023666103117,3.0710795688413484,2.8455401276814456,7.752431048338031,5.849586349042987,19.65400613109048,0.25844537401208545,43.0,extragal
ZTF18aahaxfq,2005331593415010000,Unknown,4772.560657784197,2459684.3857929423,4.151862469168411,10.567181578409135,16697.039446235387,0.5498603556962085,4.407061088991407,1.598437597036387,4.155077249769228,3460.974374599926,0.01962360844821226,0.2061768212185621,0.9727071932503186,2.842899736976228,3.9274949190579735,2.5431973807456973,2.597450458414047,0.36641593645398735,6.0,extragal
