,objId,alertId,type,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,sigmoid_dist,snr_rise_time,snr_amplitude,Fvar,nb_points,data_origin
0,ZTF17aaazdba,ZTF17aaazdba-20,TDE,77491.13107812419,58540.19435035495,2.7043034961927828,6.546271900315058,13266.263668303332,18.007193654617975,0.5021160984658538,0.1956809721291349,0.2741868566255836,554.0818044064426,0.2915733303327448,0.182564432131744,10.947867645129277,8.481838177843478,3.2135535714809853,23.87522137596235,13.81996147488547,0.4410053122189951,18.0,tdes_ztf
1732,ZTF18aasxahh,1887385493715015008,Seyfert_1,2878.1226291130224,2459019.45915478,2.0873741729806743,5.705867719099075,11114.887036783424,0.2585180519842778,0.7033647340463512,0.1980797854249373,1.0720081132971284,729.0121069384631,0.1578024021121447,0.1634074391259393,1.7208654096474791,2.1646235340137654,5.651804599782814,5.322597514257413,10.53804742620588,0.0,36.0,extragal
2062,ZTF24aaimfrw,2666245194215015004,QSO,4138.575349088569,2460417.038140255,2.5764781687002403,8.4908348658228,11858.794129530364,0.2572240119419491,3.0674160717688843,0.5280660702577301,2.1841942390435305,1677.5471357105316,0.2424732609045252,0.0959726214678032,3.250905103472421,3.663266994011236,2.077409739286589,3.887399167182576,4.879082966725648,0.0,8.0,extragal
6,ZTF20abfcszi,ZTF20abfcszi-51,TDE,5009.352576563538,59040.347203130426,2.6442402642969687,17.451186048102862,10829.352769979416,0.6134252692001251,3.839572748394189,0.2941752254642696,2.057831206092255,429.61689830856994,0.218162769308538,0.1848459746046805,4.415450687520226,4.256497472625514,1.3791861139542791,8.480377786301538,8.988657219940285,0.0,51.0,tdes_ztf
2900,ZTF18aaxhcam,2660493140915015013,Unknown,62201.701211961336,2460408.916581017,2.0805752311821446,2.2574125054429466,10292.90372747105,0.4447945446601207,0.4972234452633741,0.1129190594488435,0.2518326814456023,419.0572068920801,0.394762689211908,0.3702332734629879,7.085579794438039,13.627470521364902,4.436646053346023,8.963937851452233,18.42536805865551,0.0,6.0,extragal
521,ZTF24aahkbjk,2642454604315015002,LINER,3111.3611242972183,2460390.270807788,3.38229027577803,1.824574289496736,15382.98266211432,0.1118785201034564,0.5122714251488889,2.200029395130093,1.0290166327995836,5600.936189164279,0.217553018802908,0.194903361075387,1.2161663482133491,1.116947486258188,4.701129661582903,1.7731241957991746,1.5373841291688866,0.0,6.0,extragal
2531,ZTF18acyaher,2650500436015015013,Unknown,6201.580760034631,2460400.680537977,2.061719328406916,2.291392146203985,10768.497844644842,0.4792229699468371,0.6421532281904713,0.3460651015536349,0.4519998005870439,1183.3492606509117,0.2948672810067075,0.0469841828409828,4.144606921894906,3.076292182275232,5.354078324582547,5.069453887430907,5.95760543074402,0.0,7.0,extragal
1910,ZTF18abaxiee,1356303864015015121,Unknown,16985.961792670423,2460371.2050771704,3.394373194468828,15.282901809468498,14644.904805247035,56.13296061201154,1.5960189985474742,0.5279866593615844,1.3207406327385978,1237.6368990186284,0.2957388885765443,0.1970860204179119,7.866570726950807,3.36913410457067,3.5188367301071044,11.571463337036064,6.428899545630827,0.3643970534446385,12.0,extragal
840,ZTF23ablpfnb,2484256493815015009,SN candidate,14548.699311944802,2460244.5111993626,2.2124491844516765,2.90195138662167,10938.639696644424,1.0410155104217371,0.2253368641769191,0.1456079906564002,0.1229478855863768,491.9828725287107,0.3966019070987513,0.2907549194025989,8.613582903801687,7.768929560992513,5.215465568224969,23.60310120651004,15.194558859565086,0.0,14.0,extragal
228,ZTF23absboby,2570133134515015009,SN candidate,13249.938035642115,2460290.889075396,2.6255497932712437,2.30030046781443,12818.654079627628,0.3743756959845657,0.3297180108137599,0.7906751311940411,0.198526784262124,2735.853595819647,0.3435012111272276,0.2575843418171638,5.738313652041351,3.105104120332685,6.4278835357773545,11.586852002686133,3.320642941313026,0.0,7.0,extragal
430,ZTF18acpbbok,1146128860415010054,Unknown,24526.30951665924,2459943.450046976,2.8460285712787265,23.606904192357465,12708.084372935667,20.70696846786423,6.607418701513819,0.9807575343582006,2.754771935243076,2171.216072193468,0.2934264862802373,0.1466475069974715,4.420832010511343,3.43804340217751,1.4927571204199728,8.569458651129475,2.901867660023783,0.490055891267086,8.0,extragal
2039,ZTF18abryqqi,2095305023015010014,Unknown,6286.369824692883,2458803.599008724,9.999850241481596,5.841040868638066,16789.30192206445,32.04219284419244,4.971692839648999,6.407088577373165,1.5005560252770187,3361.011223452828,0.114248230796171,0.3471428334067457,0.4647554990093272,3.359283745905418,0.0239814922207466,3.892584328905512,1.5607479310956276,0.0,5.0,extragal
299,ZTF18aajspec,1477532195615015010,Seyfert_1,34276.27746077633,2459749.3097048327,3.8400856734485953,31.08211772469995,10068.066856799607,4.191848037097385,21.156616993301576,1.378596803048818,6.264388873182337,500.0960845142108,0.1904488931435807,0.1894089989957298,4.41826076989998,4.763707719582365,0.0796212629124956,4.961715875871239,2.785503103558708,0.1975219061230684,19.0,extragal
3114,ZTF19acyjyhx,2106450572515010005,Unknown,6342.43590980077,2458846.4951573266,2.417195486536078,22.267793090816237,11225.045469541916,0.8660410200837689,5.811256338212938,0.3713759681976268,4.839737173861335,1365.4357094854086,0.2027269619478293,0.1350503491237146,4.512683696951385,1.698730727245827,2.389283866457556,4.601033546011777,6.508755798786026,0.0,15.0,extragal
