,amplitude,rise_time,temperature,r_chisq,sigmoid_dist,snr_rise_time,snr_amplitude,objectId,alertId,type,predicted_label
7593,25906.259212378845,10.483961186293117,12778.600550590028,0.3040827219624654,0.8592612537529504,6.481787702298679,4.680294321741775,ZTF21aaokvio,1590171643715015012,SN candidate,TDE
7594,26406.76862142057,9.843294208190777,13781.050188007692,0.264032892069046,1.1379732775524596,6.024675617802473,4.537786841774007,ZTF21aaokvio,1555189493715015012,SN candidate,TDE
7595,25396.69868505515,9.626516764094744,13779.697345659531,0.2866786132113499,1.0312259382032738,5.693620119676318,4.047051050434676,ZTF21aaokvio,1538252253715015010,SN candidate,TDE
7596,22006.854388758697,9.16079169062588,13439.058607328772,0.2885328815930525,0.8622786655585064,5.21242204016441,2.9234912069462307,ZTF21aaokvio,1540280983715015003,SN candidate,TDE
7597,21385.90620867904,8.856677975859501,13734.56639555163,0.3250806007188356,1.019847491023032,4.597347053717436,2.849887148996445,ZTF21aaokvio,1536293763715015014,SN candidate,TDE
7598,13516.827739875143,7.228430773619224,12746.422903841883,0.2617753565784124,1.1788975688144383,3.055567314609533,1.860555505583223,ZTF21aaokvio,1592174783715015004,SN candidate,TDE
7980,11517.6960024939,11.814832115318795,11794.953226755517,0.9877328029269168,2.841536064323728,2.060851082598195,4.852097392195633,ZTF18aaousdi,2412261314615015007,Unknown,TDE
7981,10981.9295058953,8.797496104951831,12293.506594439836,1.0637767373599918,2.8954227685959597,2.444514774480792,4.403180696260508,ZTF18aaousdi,2409267024615015006,Unknown,TDE
7982,11083.014280269808,8.849528405563454,12337.907829786744,1.19620454742978,2.8669612283381123,2.363724929211364,3.6430946614994544,ZTF18aaousdi,2440162223415015006,Unknown,TDE
7983,11822.700445776858,7.171018117571542,13765.283150758933,0.8791601733952736,3.476843270202594,2.6856576502815908,2.902772364511831,ZTF18aaousdi,2430217184615015007,Unknown,TDE
7984,10641.690724360493,9.6438237535751,11322.772257896422,0.242503290019042,2.2779076505636318,2.1734643179112103,4.250972426760051,ZTF18aaousdi,2440160304615015010,Unknown,TDE
8066,9464.38107951331,5.365990330798098,13388.250708098383,0.2687064437838384,1.0832564325272205,1.766940544537257,1.8631521937945967,ZTF22abdsthe,2085351511315015005,SN candidate,TDE
8146,9813.765045416814,5.617018875532784,11437.55680021017,0.2843790594258376,2.0683448581183965,2.4556194293461098,2.778215630962259,ZTF20acprazr,1413170745015015001,SN candidate,TDE
8229,17080.47277755193,11.790675767681533,10770.704935679723,0.2148288161439004,4.118468535780908,8.437850256327101,10.418959152200989,ZTF18acvjbvq,2389205824215015009,Seyfert_1,TDE
8230,17512.89622922435,11.958834061047035,10919.700958452891,0.2082749120350199,4.032558470513445,8.16172110618897,8.947762838187934,ZTF18acvjbvq,2389221534215015010,Seyfert_1,TDE
8233,17700.760945400587,12.123930824845448,10963.74146072156,0.3394018648857164,3.215339756478645,7.280696724358603,7.338595443838081,ZTF18acvjbvq,1985189174215015003,Seyfert_1,TDE
8234,17827.46866638769,12.193450152491284,10990.389803739236,0.6743156062823251,2.447378006931347,6.431859626797283,5.7747217965890485,ZTF18acvjbvq,2267358774215015008,Seyfert_1,TDE
8285,15572.160089996356,7.366016836212403,11395.39008857492,2.464797736708837,1.9140374885215008,6.519295170275622,5.167731499385392,ZTF21aaukcog,1604434035515015008,SN candidate,TDE
8286,16266.309349651194,7.807475224518779,11178.938771971863,2.7359527342287357,1.2834698590405471,5.62609408626168,4.711471607850931,ZTF21aaukcog,1589321275515015015,SN candidate,TDE
8287,23891.32983403524,9.130595131807658,12270.56498044075,2.981691123945651,0.6334102195420989,4.175160356382754,1.989950001016272,ZTF21aaukcog,1582404035515015008,SN candidate,TDE
8396,10108.36450818423,6.2212697220822895,12499.405875488575,0.2341712629127279,2.22172141889262,1.5993659060436036,2.911533351595196,ZTF20acoawtj,1620410214015015011,Unknown,TDE
8441,7902.567879497671,5.189230743389989,11969.398772811976,0.2978384727421721,1.4546600347103058,2.2715438637394767,3.0943346574568094,ZTF21aazrgtw,1623252395815015005,SN candidate,TDE
8442,9301.541615782538,5.707010871176882,12449.054650286009,0.3328997528153056,1.1030008059208227,1.925913008654866,1.7636377543695338,ZTF21aazrgtw,1607314405815015003,SN candidate,TDE
8639,8907.2929235794,27.10469506981355,10902.607473322005,1.4092662322709146,1.219074700174117,3.967052075871003,4.605508458913924,ZTF18aassvid,1238323321015015004,Seyfert_1,TDE
8640,6768.896125606494,17.096784535938355,11427.26948545388,1.47537645851703,2.357862618113714,2.654618433873541,4.815684822008061,ZTF18aassvid,1617199301015015015,Seyfert_1,TDE
8641,6527.640331160239,13.306738363445287,11987.179763574495,1.2431306747636544,2.958567723053221,3.325774096454768,5.980933758869693,ZTF18aassvid,1435499375315015004,Seyfert_1,TDE
8642,6505.394810950002,13.740210471393576,11857.276308657256,1.2847190029615017,2.8397918859071094,3.090752147050349,5.973084936302286,ZTF18aassvid,2663344735315015003,Seyfert_1,TDE
8643,6346.619877812617,13.09505427182619,11803.444964418708,1.2772830787833107,3.0188282242653206,3.2022526577822306,6.184284250671344,ZTF18aassvid,1266257461015015011,Seyfert_1,TDE
8644,6070.827909840386,12.079198407460424,11662.925907994026,1.3002392023526104,3.0961823778693955,3.313211114913138,6.353911134180289,ZTF18aassvid,2734259511015015008,Seyfert_1,TDE
8645,5859.387105828027,11.392195202642624,11534.6785024416,1.3148684119589753,3.325327028332345,3.4214771348971267,6.573346270383375,ZTF18aassvid,1777487445315015001,Seyfert_1,TDE
8646,5663.84506258094,10.789056893471052,11397.607482939527,1.3277260511555262,3.536523116337919,3.533249210810788,6.715199198754126,ZTF18aassvid,1269248275315015005,Seyfert_1,TDE
8647,5715.154233229095,10.531462954594172,11544.048360608884,1.3693690672941914,3.360242104265577,3.5962988405065914,6.571518859374662,ZTF18aassvid,2002279361015015012,Seyfert_1,TDE
8944,6612.419311664499,5.9298321948798165,12520.759986990985,0.2286947433979221,4.249854813929457,2.13955383435691,6.063804883325903,ZTF21aagskhr,1512363576115015003,SN candidate,TDE
8945,7235.521768067363,7.015267010161084,12946.156811521116,0.2017906749054654,3.609212215169298,1.92628900371756,4.866235883326214,ZTF21aagskhr,1569341646115015007,SN candidate,TDE
