id,type,reference_time,amplitude,rise_time,temperature,r_chisq,err_reference_time,err_amplitude,err_rise_time,err_temperature
ZTF17aaaobyl,CV,2459110.0184838185,620648719949523.9,4.319564113253368,7692.710170437693,3.0597706566884084,36.200952198523524,0.21146354220570274,23.807252656817788,452.48169592543445
ZTF17aaapufz,LBV,2459046.103316744,2198221362516426.0,91.88382818084855,7341.048446457795,35.005153815581515,10.658307530027379,6.777894234450013,4.441267215820116,432.482233050403
ZTF17aaasnui,Varstar,2458862.055522675,978842690058102.6,15.629030550390043,4058.6130562848634,10.695302921614612,0.0,0.0,0.0,0.0
ZTF17aaburzk,CV,2459068.4717374826,1718875396903795.2,0.4078168212818316,15559.128397083372,0.011327861513363836,0.006419198211505273,5.924115556432156,0.004915593299602601,3737.7413735239834
ZTF17aadgpat,SN II,2459073.297070025,721314770294422.2,33.11789925991169,5696.867115024162,0.5615605702410635,56.915209154892985,27.35842133245579,22.294656790008045,7727.05184168949
ZTF18aaaaljy,M dwarf,2458677.0576972314,1344821588128247.5,15.896334653831826,3365.093117324456,13.48033119398577,49.8208103256945,1.2235159814670826,13.674845639585795,110.51818430605567
ZTF18aaacdnd,SN Ia,2458884.9784764713,4099270982703473.0,100.31002485663981,2811.4248145594984,0.27877291230153933,0.0,0.0,0.0,0.0
ZTF18aaacmak,SN Ia,2458853.581049533,420811462424214.7,1.4083380246717527,5889.115233799478,31.142160011021744,37.7445655690055,0.013118085499318255,16.117827748954873,83.53848732909637
ZTF18aaacqmh,SN Ia,2459156.6554590217,2793726260825796.5,50.54391008008779,3326.2017912331485,0.5587389283488569,46.81812607713448,19.519430514540783,20.5577187845367,169.4880126322082
ZTF18aaacxgb,SN Ia,2459432.7109848745,2353737527818116.5,139.58451765149198,5513.914195119817,0.4364347459665842,0.0,0.0,0.0,0.0
ZTF18aaadtdc,AGN,2459262.9068291783,2520237034469169.5,118.54090778700842,5243.052564739617,2.834457850885302,8.700754116721429,9.600518252430884,2.651316746114965,99.68543412478857
ZTF18aaagydv,SN Ic-BL,2458847.6880409266,335966870535073.94,1.5545595397354943,5889.513674399457,128.5763583734283,45.2308935398191,0.0010499739779135098,25.06216582318811,22.61329314597424
