id,type,reference_time,amplitude,rise_time,temperature,err_reference_time,err_amplitude,err_rise_time,err_temperature
ZTF17aaazdba,TDE,2458539.9817921706,1263855058100498.0,5.7772211769484985,12617.428472615435,0.0016396301459518092,0.10297887544569218,0.0007175050864523802,81.66874186060159
ZTF18aabtxvd,TDE,2458174.872161625,282030232378230.7,1.7167555257158615,7648.054534507334,26.171706618198712,0.00399449666046614,20.554540294003296,74.68025524034647
ZTF18aahqkbt,TDE,2458206.245264147,707837618682029.1,4.60161709941768,10701.813111361571,0.03788376679549671,1.2648511738241202,0.06284381661971963,1656.5130897856006
ZTF18aakelin,TDE,2458972.9026278504,1678986435278010.8,9.217841158406012,14099.016233575529,0.0412450100943526,1.2549418484006143,0.028587606601825744,662.9337994662246
ZTF18acaqdaa,TDE,2458407.982380348,3289067433408532.5,10.594128058533133,18356.60642283746,0.02538117413190598,5.496604214089759,0.023865714172036936,3248.183036145352
ZTF18acnbpmd,TDE,2458443.082211236,1903152877338840.2,24.258186500968396,12083.921645809178,2.895140396092242,7.969369786814466,1.7863689486963255,5065.878953460426
ZTF18acpdvos,TDE,2458430.8365293522,2511585434096662.5,2.082690138988396,16680.956918839373,0.04127254517729206,1.1569950990138853,0.019929041480974033,748.1695958847849
ZTF19aapreis,TDE,2458587.0708252913,1034737309421386.2,8.36852351072059,9808.914705933144,0.008069471597899225,0.14982372352710138,0.007199998396575653,340.8535999255182
ZTF19aarioci,TDE,2458600.953847057,1511842956131552.8,3.2536800724659547,13820.309553787856,0.010711633862014514,0.2605053059735436,0.0093814019253253,233.9783010191759
ZTF19abzrhgq,TDE,2458761.910754688,1647719627929739.8,6.866824827747934,9758.66364704779,0.006330958016091737,0.29013599145441216,0.001670872614340041,76.32924636382086
ZTF19accmaxo,TDE,2458762.730065202,885408551848419.9,7.40003207911078,10039.00464808742,0.04700344437886261,0.4143854582699449,0.044092797557384766,433.4057300608929
ZTF19acspeuw,TDE,2458801.042745573,5141589955822995.0,5.814285426536288,24346.34631040673,0.06019263087387172,22.801761108310522,0.06991499382925531,419.1778749641999
ZTF20aabqihu,TDE,2458877.7726205536,4310380217651627.0,12.23505967167634,11299.969324582515,0.059887116485474456,4.464631533613961,0.014667478076495821,754.8403447676674
ZTF20aamqmfk,TDE,2458887.254130844,6565109605015084.0,6.735078780001298,28557.560971519215,0.042579513094913035,0.057498045641651174,0.029071120056200106,249.12113140719157
ZTF20abefeab,TDE,2459009.312524875,1510301036792363.5,4.397413597401702,13692.81669089747,0.02182387256943767,0.6067809538555937,0.015931541351062728,589.9084186859773
ZTF20abfcszi,TDE,2456965.8325257013,57367681279410.51,294.0234283080654,7544.4119809848535,47.039671142127155,0.031207492001137108,16.328532287749546,1271.5697477476447
ZTF20abjwvae,TDE,2459045.7569370614,1846263004679594.0,6.720749704207669,14471.209866503556,0.040311520519768274,1.3539192563362885,0.04147761889481,568.9713745358058
ZTF20abnorit,TDE,2459076.523308343,1636377975142143.0,31.184235732299822,13057.303396696907,0.2338354816948806,1.502844360733846,0.15188968127268998,1323.5448336424324
ZTF20abowque,TDE,2458668.5525639844,1581273715892972.8,25.149837473673422,13829.04779272037,0.0,0.0,0.0,0.0
ZTF20abrnwfc,TDE,2459062.5892720884,4504737210126966.0,4.212579237156548,22434.65691639918,0.023986405037224143,39.976532416605,0.029736549257346378,20389.077359203395
ZTF20acitpfz,TDE,2459155.2055818923,4574591773572894.0,8.36564797886114,14246.901316529249,0.059694697822353815,4.439825493184108,0.011196962576645195,425.3939099241579
ZTF20acqoiyt,TDE,2459174.321709857,2205467663963342.8,4.172183056662325,17191.976654109112,0.07285965880278357,1.3826191823033023,0.04071476542760749,881.2382300329109
batchfp_req0000167802_lc.txt,TDE,2458389.721272788,990368080343480.5,4.37769725097625,13084.810795454343,0.01588338389655919,0.7170466528668693,0.00863082053437228,667.337578371812
batchfp_req0000167805_lc.txt,TDE,2458455.4186388804,1092507435090937.8,9.711422223339193,11138.513717916981,0.11617852310166954,0.8176962526598825,0.11205094666531151,1027.2800694945608
batchfp_req0000167806_lc.txt,TDE,2458493.3522162004,2119397745357065.8,8.429833223524192,14032.312780236845,0.02127176034705447,1.9818987153968362,0.012969541141185557,904.2320461184136
batchfp_req0000167808_lc.txt,TDE,2458522.070639945,1603443547797291.5,5.905540839752632,15005.854616929448,0.08670331242259632,2.211106190957538,0.07128458109430469,1042.778835791738
batchfp_req0000167809_lc.txt,TDE,2458528.1919690967,761541716549819.6,0.8675911746291504,8164.05678601589,0.006445568883997027,0.11664183548656792,0.005105331144042046,99.39997589571703
batchfp_req0000167813_lc.txt,TDE,2458690.411214266,3464201961793399.5,10.216980106420488,17651.84996931217,0.1338317791802388,7.351449325567067,0.041101010518724834,1995.8902323042566
batchfp_req0000167814_lc.txt,TDE,2458687.667890068,1787426999603286.5,6.049323669761149,13374.253515488092,0.06749310551209756,0.7686750369711035,0.03379887187143826,501.8001141116838
batchfp_req0000167815_lc.txt,TDE,2458685.784332311,2142779708643099.2,3.776182728373935,14739.525662358072,0.11816852264538341,1.8388300105475368,0.08134262061946079,1229.1584103164932
