id,type,MJD,FLT,FLUXCAL,FLUXCALERR,fp_fname
ZTF17aaazdba,TDE,2458567.6460764,r,57168.60728018977,251.99366212180314,batchfp_req0000167810_lc.txt
ZTF17aaazdba,TDE,2458575.6502778,r,64267.43507342976,460.47186586967865,batchfp_req0000167810_lc.txt
ZTF17aaazdba,TDE,2458575.6525231,r,68390.73611158504,538.1836510350724,batchfp_req0000167810_lc.txt
ZTF18aabtxvd,TDE,2458204.705081,g,6827.787566273538,239.83680874802758,batchfp_req0000167800_lc.txt
ZTF18aabtxvd,TDE,2458204.7239583,g,6895.465920153593,244.05731272720632,batchfp_req0000167800_lc.txt
ZTF18aabtxvd,TDE,2458214.6619676,r,7251.323846723646,1136.4340236836247,batchfp_req0000167800_lc.txt
ZTF18aahqkbt,TDE,2458204.7079051,g,1973.5466169778251,217.65715183692518,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458204.7258796,g,2749.545888697309,225.10169466830615,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458207.7085648,g,3765.3474349900735,256.29431018253473,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458207.7721759,g,3620.1702568020287,237.55483980239634,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458210.6885301,g,3964.3874901660797,210.8569256977258,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458210.7536806,g,4364.078464515488,226.2169981402247,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458231.6973958,g,5852.152505899227,142.81047688327564,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458234.6699306,g,5659.822869899116,227.7494905146832,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458234.7197338,g,5993.477725758429,163.9233058831446,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458214.6535301,r,4287.913130957231,810.0771958935818,batchfp_req0000167801_lc.txt
