id,type,MJD,FLT,FLUXCAL,FLUXCALERR
ZTF17aaazdba,TDE,2458481.9247106,r,649.19565158296,37.945332
ZTF17aaazdba,TDE,2458481.926088,r,-45.31208751753,34.333878
ZTF17aaazdba,TDE,2458481.9279051,r,-348.54206524269,28.756721
ZTF17aaazdba,TDE,2458486.9525463,r,0.11895260937,38.772648
ZTF17aaazdba,TDE,2458486.9534722,r,186.95910733744,45.460743
ZTF17aaazdba,TDE,2458490.7152662,r,20.95768761,37.478615
ZTF17aaazdba,TDE,2458490.7157292,r,-152.86402137646,32.270546
ZTF17aaazdba,TDE,2458493.7756713,r,-202.83293171271,25.332657
ZTF17aaazdba,TDE,2458493.9858565,r,352.89809719426,27.926662
ZTF17aaazdba,TDE,2458502.9177199,r,-136.53201536541,132.925629
ZTF17aaazdba,TDE,2458502.9201736,r,156.57166941759,131.994461
ZTF17aaazdba,TDE,2458505.7610301,r,265.92576753655,131.959045
ZTF17aaazdba,TDE,2458505.761956,r,-273.43005985087,169.878983
ZTF17aaazdba,TDE,2458505.7738889,r,422.32010073812,134.798141
ZTF17aaazdba,TDE,2458505.7748148,r,-287.78546006927,186.020218
ZTF17aaazdba,TDE,2458505.7864583,r,-104.85894696401,121.222214
ZTF17aaazdba,TDE,2458505.7873958,r,-43.98198678802,159.725433
ZTF17aaazdba,TDE,2458505.7990972,r,110.20281569596,136.310379
ZTF17aaazdba,TDE,2458505.8000463,r,-126.95508209128,148.612732
ZTF17aaazdba,TDE,2458505.8118866,r,-19.98604397623,116.71521
ZTF17aaazdba,TDE,2458505.8128472,r,41.12265088842,150.055634
ZTF17aaazdba,TDE,2458505.8254282,r,8.07154508123,102.899498
ZTF17aaazdba,TDE,2458505.8264352,r,59.54923182831,155.679916
ZTF17aaazdba,TDE,2458505.8394444,r,36.23065392182,111.995308
ZTF17aaazdba,TDE,2458505.8404051,r,118.60978805947,155.566391
ZTF17aaazdba,TDE,2458505.8533218,r,52.1298139686,115.940292
