tns,objectId
SN Ia,ZTF24aaljswk
nan,ZTF22abhjbkr
SN Ia,ZTF20achncqp
nan,ZTF18acajwep
nan,ZTF21aafdher
SN Ia,ZTF21acaeoms
nan,ZTF24abriccf
nan,ZTF24aaarwuy
SN Ia,ZTF23abieafn
nan,ZTF18adbijqe
nan,ZTF23aamxpba
nan,ZTF23aaazbqf
nan,ZTF20aclwssg
nan,ZTF21aarzyfn
nan,ZTF20aasajit
nan,ZTF19acrvoou
nan,ZTF20acvawbq
nan,ZTF23aaorwsb
SN Ia,ZTF19acrkvog
nan,ZTF18actackd
nan,ZTF24aaikobb
nan,ZTF21aahrwpa
nan,ZTF20aatutuw
SN Ia,ZTF20abdsunu
nan,ZTF23abmstux
nan,ZTF22aadmzyu
CV,ZTF22abnabxg
nan,ZTF21abyhwci
nan,ZTF21abryfwc
nan,ZTF20acovtuw
SN IIP,ZTF20aahirfz
nan,ZTF20abrnyjs
SN Ib,ZTF20acjbzrh
nan,ZTF24aamqrwk
nan,ZTF20aaolglj
nan,ZTF24aagqhnx
nan,ZTF19abvhdty
nan,ZTF24aacltwu
SN Ia,ZTF23aayocyn
nan,ZTF19abfasex
SN Ia-91T-like,ZTF18abwlopg
SN Ia,ZTF21acempzi
SN II,ZTF21aclzvgz
nan,ZTF19aainjsn
nan,ZTF19adayqdl
nan,ZTF22abwtopp
SN Ia,ZTF18abxhaop
nan,ZTF21aaabzde
nan,ZTF23aaefkcp
nan,ZTF24ablwbju
nan,ZTF23aabrsoo
nan,ZTF23aaxahls
nan,ZTF24abifqbz
nan,ZTF20aawdwqo
nan,ZTF20acjhqiq
nan,ZTF23abefxhn
nan,ZTF24aamegpm
nan,ZTF21acdwbpx
SN Ia,ZTF23aanivnc
nan,ZTF18acajzuh
nan,ZTF21aciurhp
nan,ZTF23absjgzd
nan,ZTF19aaustkj
nan,ZTF21acnwyov
nan,ZTF21aaphpys
nan,ZTF19abrokwi
nan,ZTF22aamdodk
nan,ZTF21abjzkma
nan,ZTF21aaedxom
nan,ZTF21abrcvqq
nan,ZTF24abqncdb
nan,ZTF19aacolgi
nan,ZTF24aafjydc
SN Ia,ZTF24abmffcf
nan,ZTF22aabyyww
nan,ZTF19abyxihe
SN Ia,ZTF23aaajbwm
nan,ZTF18abtfsnt
SLSN-I,ZTF19aaknqmp
SN Ia,ZTF19acnqsui
nan,ZTF21abrfaon
SN IIn,ZTF23abjvuwc
SN Ia-91T-like,ZTF20achrklb
nan,ZTF23aawlztf
nan,ZTF22aabztxv
nan,ZTF21abbqlcm
nan,ZTF23aasfjjy
nan,ZTF24aavgwal
SN Ia-91T-like,ZTF22aanjimh
nan,ZTF22aajsgxk
nan,ZTF19acbpqfn
nan,ZTF21aauuijm
nan,ZTF20aavzzig
nan,ZTF22abnpeow
nan,ZTF24aahtagr
SN Ia,ZTF19abdkbwy
nan,ZTF18aaiuaeg
nan,ZTF18abreyts
SN II,ZTF24abgmnff
nan,ZTF22aadetat
nan,ZTF24aaowjlw
nan,ZTF24abiwsnm
nan,ZTF22abxcnjz
nan,ZTF22aadghnh
nan,ZTF21aarjekx
SN II,ZTF22aahnkdv
nan,ZTF23aafmhuo
nan,ZTF21abbjvgd
nan,ZTF21abcpbgy
nan,ZTF23aaqhiag
nan,ZTF24ablkiyr
nan,ZTF23abtugir
nan,ZTF18aabxsag
SLSN-II,ZTF19aafljiq
nan,ZTF17aaaejau
nan,ZTF22aavaphw
nan,ZTF22abhhmwh
nan,ZTF24aakyqxt
nan,ZTF22aaejotk
SN Ia,ZTF20achoqvb
nan,ZTF23aakmqsu
nan,ZTF19abotplf
nan,ZTF19aadnxkc
nan,ZTF21abbixwg
nan,ZTF19aaxvuhg
nan,ZTF22abzdrfh
nan,ZTF23aazsjal
nan,ZTF21acmjabc
SN Ia,ZTF21abrpoaq
SN Ia,ZTF21abulsgn
nan,ZTF20aaqnfzg
nan,ZTF19accmgvk
nan,ZTF21acmtrwi
nan,ZTF19abzujfc
nan,ZTF24abtatpi
nan,ZTF22aadbdhs
nan,ZTF20aanagct
nan,ZTF18absrdom
nan,ZTF22aauxucw
SN Ia,ZTF22aaonqcc
nan,ZTF21abwpyjh
SN Ia,ZTF22aaoolrn
