objId,alertId,type,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,sigmoid_dist,snr_rise_time,snr_amplitude,Fvar,nb_points,data_origin
ZTF20aacedmi,2720421350115015004,Unknown,9638.00914632884,2460478.2136557763,1.8974712763985395,2.2459251435034573,9313.333493504711,0.4566625841941003,0.3361203607225521,0.1730812959710283,0.2283332141822215,634.0247386905075,0.2984053473720745,0.2331577566686687,4.923392639042214,2.0659073961118555,3.4134047814161224,9.836173644501384,10.9628903906298,0.0,8.0,extragal
ZTF18abmfocw,2468198923715015018,BLLac,25787.65077032585,2458800.981820351,0.8711598147852292,3.457397041720991,6044.6334805576025,4.785489919775243,0.3131008699717362,0.0285055251295679,0.3771524492866506,167.87689672488523,0.1349106561185464,0.1994691598707639,3.637871681075508,5.93283539467689,5.685089103659364,9.167107487331297,30.561086344682,0.0,18.0,extragal
ZTF18abaljmt,2500492335915015010,QSO,27100.64279654034,2458798.453941056,1.680289378317973,6.36761672202295,5028.349458494318,9.524652110894223,0.7712470755108124,0.1022277053084851,0.5022315094262955,148.27547385543403,0.222351294536208,0.2675612142400286,6.967748939502773,5.754893965727544,2.293792196014353,12.678648397223718,16.43673183553798,0.0,9.0,extragal
ZTF24aajqkem,2669430743115015010,SN candidate,2903.403029108631,2460416.2465517293,2.1956012488038468,2.70800666801775,11062.802413201867,0.1959449639621801,0.6157782224414288,0.4499507727125943,0.6592059032483938,1587.0689246016163,0.2330833897644361,0.1997863871068206,1.194773219166423,1.863177329462695,5.071282332093842,4.10798303636755,4.879647690273632,0.0,10.0,extragal
ZTF18abtjkdh,2706440841715015009,Seyfert_1,120692.50487911631,2458794.724135218,3.7985275023256873,47.32562499593742,11031.119958616053,5.378856258214192,9.92020665596804,0.3982152690857183,10.843843271540806,416.8134538867071,0.008584625482956,0.0895325473964945,8.627885836805385,25.361911327777864,0.3778610062340106,4.364285227188912,9.538879589039642,0.0,8.0,extragal
ZTF24aakdffc,2683295372415015000,SN candidate,18779.08744063461,2460422.7400023784,2.011309104949355,2.124783595825775,10084.868451697988,0.0564697944221368,0.1634011290038495,0.1401949576583695,0.1943787426617459,584.5858644667505,0.2621630814359317,0.1945429725922792,5.347092955084174,2.6521866591891645,5.252527242571393,10.931152073163066,14.346515299434394,0.0,7.0,extragal
ZTF18aajncmt,1942183062915015009,Seyfert_1,6264.830432201052,2458908.9051079173,5.89681472317079,31.33574626907032,20170.44021977565,1.4307443021351347,4.3301184223488125,1.3370628237066435,3.935136793330205,2155.9198562909205,0.2422559526209985,0.1527409999663923,4.107452161481515,3.120328242704572,2.292370628922151,7.963064034313196,4.410274983806275,0.0,55.0,extragal
ZTF24aaknuqh,2666260633115015002,SN candidate,22168.632085595164,2460426.692683324,1.842340501132173,2.684645284980225,8225.089000007101,2.5328109466140933,0.427108788621833,0.0613484526517806,0.1778828117066217,451.89973172465807,0.3973027646856445,0.3076038618315289,10.558626378568476,7.514903793151018,3.356925671499477,15.092213009360073,30.03075744370383,0.0,8.0,extragal
ZTF18aabtvty,2120136530615015020,Unknown,15115.844576030211,2458794.858021132,1.658788985068322,1.7938295866443812,4694.093235956494,6.454819109255351,0.2674161302765385,0.1545997865105883,0.2333302578372779,140.66788101583916,0.2014007105891791,0.1572772766640689,5.111831078591724,6.049235478307701,5.429756338125938,7.687942418061265,10.72956840697004,0.0,18.0,extragal
ZTF24aamtsgz,2706332474815015012,SN candidate,8096.690606862467,2460444.6796500203,2.162629501510294,2.188704978840024,11253.4239007229,0.3616895128554959,0.1808950288835188,0.1626982669320844,0.1397241335964814,651.2666397788507,0.2845165775073951,0.2323567157778159,3.836674928792471,2.922008321954777,6.514449831047924,15.66447343420951,13.292271284076095,0.0,23.0,extragal
ZTF24aajhlhf,2683296786215015004,SN candidate,5063.103003521974,2460416.621039808,3.718145971668537,2.618563917458876,15552.917142779304,0.2458443737555949,0.7045667461883072,1.2742869817973628,0.4468047865814325,2759.982532155604,0.2592340544835334,0.0384944453228478,1.8006036716989844,0.5014767459388958,2.73711290549006,5.860644281575146,2.9178246539285424,0.0,13.0,extragal
ZTF23abtjdtm,2586341084015015008,SN candidate,4629.392691413159,2460294.3101646155,1.8868078759763007,3.74490715439424,9373.708725469714,0.4137398221192148,1.3402490976412471,0.371872824701658,0.812924964046528,686.9212160849675,0.0781193514505405,0.2344256797113139,2.881422587498475,2.885320555727516,3.3604798105273628,4.606707039421043,5.073798757653313,0.0,14.0,extragal
ZTF24aaindpx,2686254961515015005,SN candidate,26316.11550896196,2460413.9394548708,1.8465824141478664,2.2375135248720825,9773.6936326902,0.9819577402024876,0.2200676635382074,0.0975055651083331,0.1193287357605507,354.0496132477929,0.3453679418497328,0.3332685268643703,7.110822063883812,10.58447921812384,4.8507212619602935,18.750835753107747,18.938225855070208,0.0,12.0,extragal
ZTF23aagpjyp,2386331920115015001,Unknown,8099.944892592248,2460058.297771239,1.2756139510966458,5.3779818759635765,7214.776205381351,2.8935447296642023,0.3212129904446752,0.0208860910147806,0.6844125607807099,162.14199281406263,0.0928600161446804,0.2299035812249829,2.280032813931905,3.991072496526313,7.542352279420552,7.85780709493249,61.07480572568213,0.0,31.0,extragal
ZTF19aatdcnq,2620330304615015006,Unknown,12662.890469528063,2460380.3524575788,7.172682454291947,5.914439657824634,15981.384586116375,0.0460697904546864,3.541234318635205,2.282421705943979,1.296312276135981,2561.0130781508133,0.226016511099156,0.0,3.7261481114827566,0.0,0.0739493251527376,4.562511492565868,3.1425754651791755,0.0,5.0,extragal
ZTF18accmqwg,2215260672615015013,Unknown,6753.357695288287,2458791.866541742,1.6067000862887846,9.09729721465031,8875.412936388579,1.2996412724243638,0.7420415642859061,0.0683133367559522,1.4297173356376764,387.8934583417549,0.2095273975795403,0.1923065364212109,4.07317855661181,3.2010027774761283,6.938904365621357,6.363004062332903,23.51956678720997,0.0,25.0,extragal
ZTF24aamdfll,2686254962115015011,SN candidate,5232.39940264375,2460436.930957785,2.1071220528684,2.6168552955064053,10833.136582327224,0.4544671605589361,0.5393113463823972,0.2926876080419193,0.4576618078034941,1055.1413993717451,0.2609034902102125,0.232238239178326,3.6540927798125065,2.521324071426704,6.053713685336315,5.717879995417931,7.199218535301343,0.0,10.0,extragal
