objId,alertId,type,nb_points,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,sigmoid_dist,snr_rise_time,snr_amplitude,data_origin
ZTF20abfcszi,ZTF20abfcszi-51,TDE,51,5009.352576563538,59040.347203130426,2.6442402642969687,17.451186048102862,10829.352769979416,0.6134252692001251,3.839572748394189,0.29417522546426966,2.057831206092255,429.61689830856994,0.21816276930853803,0.18484597460468058,4.415450687520226,4.256497472625514,1.3791861139542791,8.480377786301538,8.988657219940285,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-6,TDE,6,1605.1425226003928,59039.880185512855,3.1038562090648303,3.249392940325935,13362.726762642245,0.32932600571865056,2.1387937504434507,1.864546171942772,2.035241834372224,4257.542759244603,0.22108941238940374,0.10765132973048869,1.9983430967197955,1.5007106048204104,2.265754318465672,1.5965635559610143,1.664671143987147,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-7,TDE,7,1904.7518322109936,59041.159349018926,3.301476761695002,4.159177346401327,14111.405432258654,0.30456541813429483,2.3555603022629947,1.719672990064037,1.9962015934479376,4481.875134086397,0.2226124591663662,0.09071823638269233,2.0728099233472337,1.50071060482041,2.172118817933752,2.083545750115043,1.919828235234457,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-12,TDE,11,2578.702254773676,59047.6303824101,5.172940764216112,7.838945431829547,16570.61708028167,0.8019051870204102,4.753612276851448,2.341325532944496,2.5849505626130007,3797.7328270638254,0.23334988962839343,0.15176271114788473,3.017570489173172,1.6800346121942533,1.2280636692565283,3.032532051176073,2.20940688999813,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-13,TDE,12,2578.702254773676,59045.42025223193,5.31518244158388,6.6185941362464655,17976.21366043618,0.8446509235274322,2.151613131275895,2.6813425266083133,1.5483769685364182,4430.503049364158,0.23334988962839343,0.14507933820851812,3.017570489173172,1.6268505405075435,2.683575258208636,4.2745366733933015,1.9822840196053453,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-14,TDE,13,2578.702254773676,59044.87199794837,4.795906724092655,6.334680563241491,17391.988518753726,0.7791693729547099,1.6056514516363594,2.1076910150266417,1.3480637197794725,3905.978634557615,0.25685783565227743,0.14507933820851812,2.8023940800222262,1.6268505405075435,2.8991263044858315,4.699095799624199,2.2754315931038085,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-15,TDE,14,2649.627362170626,59044.63257092885,4.480656495542874,6.19562922515552,17173.60929052631,0.7091913365584315,1.2881296282802388,1.87481678962752,1.208641167387291,3786.024136353687,0.26245832508739514,0.1411958609352883,2.6440515249038943,1.6268505405075444,3.4804439367351225,5.126111365665756,2.389916988333068,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-16,TDE,15,2649.627362170626,59044.838902134325,4.268095102994925,6.36516122249668,16630.5772268553,0.658774889973293,1.2535268007649412,1.6033808444501125,1.189112345190427,3245.0313694329034,0.26245832508739514,0.15184224501059432,2.6440515249038943,1.5573202393134593,3.362245828123981,5.352867833087166,2.6619346974041527,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-17,TDE,16,2649.627362170626,59044.97330602363,4.165185035925791,6.471091596987831,16344.293629943058,0.6124456346757712,1.2146062941808786,1.4724268765062405,1.1650928887818492,2955.5395534476083,0.26245832508739514,0.15612648503127155,2.6440515249038943,1.5157059804352704,3.4320916098345515,5.554142214148791,2.8287890572935614,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-18,TDE,17,2649.627362170626,59044.56540485321,3.7624009714915,6.248939385560479,15706.930461165,0.6070224755264444,1.0099493753274043,1.1495157401420781,1.0778413123467459,2596.028117219098,0.2631899981744743,0.15612648503127155,2.768846696193997,1.5157059804352704,3.6220017270231333,5.797643228162116,3.273031277524285,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-19,TDE,18,2649.627362170626,59044.30483885656,3.5261063789172544,6.095140465428617,15308.501946105855,0.6037950830907485,0.91178493829434,0.9923257830431109,1.025580411225232,2413.3277071264947,0.2593507428799309,0.15612648503127155,2.7552843136579024,1.5157059804352704,3.919096102726911,5.943113186168333,3.553375755393494,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-20,TDE,19,2649.627362170626,59044.05755510152,3.3299210312819607,5.941596552705519,14970.927306236003,0.6151065901254689,0.8413777822941007,0.8730636842271857,0.9770841038515284,2263.7904089916947,0.25331263549529187,0.15612648503127155,2.7861462425166463,1.5157059804352704,4.2285995313793965,6.080946900358505,3.8140643018836866,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-21,TDE,20,2649.627362170626,59043.987253569285,3.437364902418382,5.859328397427034,15281.617020009247,0.5843418304838134,0.8043599349935134,0.8857237577370715,0.9290164837816891,2188.481404765308,0.25331263549529187,0.15030779991651716,2.7861462425166463,1.5517397636371482,4.303584441803978,6.307023071943604,3.8808543548616985,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-22,TDE,21,2649.627362170626,59043.8169152376,3.270962228025191,5.755653649980441,14965.208654776134,0.5913994209944498,0.7687143054696501,0.7876390940477969,0.8997816385056124,2055.892160953046,0.24668493515978637,0.15030779991651716,2.7949051501863584,1.5517397636371482,4.585979033393936,6.396722719903046,4.152869318884642,tdes_ztf
ZTF20abjwvae,ZTF20abjwvae-25,TDE,24,2649.627362170626,59043.555973641276,3.035278267953729,5.58101841401376,14497.84820041268,0.5948930492806589,0.7262600953922901,0.642647181189986,0.845297017886221,1806.229436003524,0.23240956677589275,0.14589716153607163,2.614890511796145,1.5469348067965987,5.134761352297143,6.602434760706773,4.723086565684956,tdes_ztf
ZTF20acitpfz,ZTF20acitpfz-8,TDE,8,2662.867762535936,59132.97612369582,5.155438633674427,3.8676982183474493,18344.73235358669,1.6583134548012768,1.545308157858838,3.1726214996475197,1.6172354103463966,6173.570349279194,0.21379756072015493,0.11507855122484904,2.604570418285936,1.0739989524202977,2.191958660038014,2.391549302966984,1.6249775254461332,tdes_ztf
