objId,alertId,type,ref_time,amplitude,rise_time,temperature,r_chisq,data_origin
ZTF20aaxbvkt,1239294213515015029,SN Ia,2458965.8225342245,0.8573258367732438,1.5363608908101565,6147.355272994035,5.461747890360714,tns
ZTF19adcetym,1238179603615015002,SN Ia,2458966.7743005743,1.1115334858661916,1.4837879305862252,6852.888376179784,10.5689650115489,tns
ZTF19aatuhqp,1227448223115015010,Varstar,2458686.5239901664,3.329507109600728,24.069931444570997,2979.741389788185,2.71511200743981,tns
ZTF20aawefgx,1227254604215015002,SN IIb,2459072.5490526585,6.901910384903964,42.49857347857611,5982.331744977852,0.8823917229677728,tns
ZTF19aaydpzi,1239272333015010016,SN II,2458964.7515532314,1.2679042294735,0.0124813959579324,4643.28699577622,1.3919871739368546,tns
ZTF20aaxvzja,1225297550315015005,SN Ib,2458972.9797340333,1.9431583614150671,4.07914244748337,7826.585119670834,0.8651318932691552,tns
ZTF18aawwbqm,1227216712115015015,AGN,2458919.0264070914,5.833121076544955,2.3597466720215623,20814.419136950368,0.9593996167357876,tns
ZTF18acnwntv,1243473431315015019,Other,2458960.7671897598,2.4795288681178604,0.2235060164783532,3207.5581548250425,23.145905807312538,tns
ZTF20aavgmli,1225229762115015030,SN Ib,2458962.4256650456,1.5000909020735302,3.861148870631865,7711.132321192546,0.7511321389489982,tns
ZTF20aawxsit,1225431480015015005,SN Ia-pec,2458967.485528119,1.1847297223543936,2.3670680705496685,6479.351615054076,1.3822143036459864,tns
ZTF20abasqfx,1245300195815015000,SN Ia,2458987.8701050743,1.842854512981163,0.0856260664643127,10820.748405561928,2.0189232697835964,tns
ZTF20aazdsjr,1243430033815015017,SN Ia,2458982.330222908,1.7737237855063333,2.6987228838517487,9166.410732429413,0.9165496905297555,tns
ZTF18abbuvrd,1245437884415010086,CV,2458786.128358659,9.99999999997727,4.595435345348889,27552.783638131223,24.5377688910309,tns
ZTF20aazpaki,1243452923715015018,SN Ia,2458984.5867740186,2.052185812843718,2.378292922204861,10953.161044552093,0.8368489371527993,tns
ZTF20aayxkqy,1245303470915015016,SN Ia,2458974.8508165837,1.4999696983933963,2.2800468578459188,9061.82597936369,1.364305259035964,tns
ZTF20aawlzpj,1243212806215015005,SN IIn,2458969.140871989,1.661306387407082,1.281865304217472,9492.959975826492,0.271704087078475,tns
ZTF20abajdvf,1243285855315015004,SN Ia,2458991.097821241,2.2087184782882767,2.971535974898797,10231.018949350671,0.1716054679328512,tns
ZTF20abbpkng,1245401955915015018,SN Ib,2458993.4542958755,1.4502782730864818,3.0048673084327286,5399.3938110730005,0.7428934984859294,tns
ZTF18acdvony,1245181930315010012,AGN,2459061.778978044,6.85170502904754,49.50266778694106,7593.649174377031,0.6190374802490525,tns
ZTF20aavvjie,1233160023315015003,SN Ia,2458963.112882322,2.5473156732101083,0.6090148956869749,14135.555915165736,10.78835551660456,tns
ZTF20aazquhc,1244244901815015002,SN Ia,2458989.254905864,1.6155569100178928,3.037011001443305,8205.284574838679,0.885720425370916,tns
ZTF19aaapljd,1244352622415015010,AGN,2458965.5722477078,1.5035273844350925,6.690065138486245,7811.808427653942,0.64891305571832,tns
ZTF20abahhml,1244480694015015010,SN Ia,2458990.762129529,1.615535645420761,2.926310199315096,7569.353243551971,1.6512550489832638,tns
ZTF18aaqzhib,1246304301515015002,AGN,2459067.4653704376,9.972609073383376,69.5712361771476,13702.344436319683,0.79638577115878,tns
ZTF20aazqiel,1246282062315015020,SN Ia,2458988.260073431,2.3002574959345186,3.265573140294173,11624.286018588877,0.4826203859349244,tns
ZTF20abatmsa,1246411575515015038,SN Ia,2458993.984196763,2.5752952622213225,2.910410112812981,11955.054406129995,0.1342749449312729,tns
ZTF20aazycgy,1246231282115015000,SN II,2458987.945700369,2.387690168003933,3.0531367425723537,11602.101280648809,0.2693421779393855,tns
ZTF18aazndjw,1245412396115015004,CV,2459006.9830126893,9.99987700025376,5.619285704441543,11624.004057678489,15.271855790202263,tns
ZTF20aayprqz,1244343952215015032,SLSN-I,2458979.937774552,2.4890249675525404,2.236825434045325,12722.059746655694,3.4699387013471705,tns
ZTF20abbpkpa,1245401004215015008,SN II,2458994.3848728565,2.3280629922683382,2.722001717511076,10259.47713920125,0.4264072745268773,tns
ZTF18abaljsw,1244239005315010002,SN II,2458903.172236484,2.198356683234485,223.65467041010268,4759.174562535201,0.4392664867338966,tns
ZTF20aatqesi,1244282124915015002,SN II,2458963.270512284,1.0500926851786836,0.4549805917135416,5718.677761711116,2.307065781932088,tns
ZTF18aakrzml,1241239574615010004,SN I,2458949.6624577944,1.0426379708081224,1.046467395417342,4020.000756043544,40.7004383224668,tns
ZTF18aayvwmo,1217405312415010017,Varstar,2458937.4612490414,2.092453339451297,5.361951599035884,3380.2013801113176,0.9335554724306332,tns
ZTF20aazgxgk,1243179756315015000,SN Ia,2458983.732437876,2.224314792370182,2.8371552165868987,11121.78050095392,0.2904238804934562,tns
ZTF20abaknoz,1245288095715015007,SN Ia,2458988.8978489838,1.7071922559980983,1.8874592239805352,9465.957608805178,0.5056598720479898,tns
ZTF20aaynrrh,1244225162115015004,SN II,2458975.7457182286,1.3856345057790789,0.0407920401553158,7691.523737875033,33.637551895600254,tns
ZTF20abawtpy,1246284401115015009,SN Ia,2458994.485337352,1.5159568541995012,2.349976460083045,6875.733359124916,0.1395648858019427,tns
ZTF20aayxldg,1246411575015015003,SN Ia,2458983.141712012,1.4805563734638936,2.327530563223284,7854.850789235584,1.3090833216628877,tns
ZTF20aazjwgh,1246267043415015001,SN Ia,2458983.1785231302,1.3284266000728808,2.384289552680419,5395.780073371268,0.6047057840792994,tns
ZTF20aayuyak,1243185842115015008,SN Ia,2458979.7695216946,1.4135687730886493,1.5136021995633222,4793.844152842578,2.2472745673583487,tns
ZTF20aayhacx,1242312194415015000,SN Ia,2458973.4757648543,1.136598430396762,3.1459819454641886,4856.343274211944,7.13018437478722,tns
ZTF20abbpory,1245348733715015000,SN Ia,2458996.657237702,1.83841141046796,2.419875439976304,7406.062108994652,0.1550855209165507,tns
ZTF20aazymxi,1244343484015015000,SN Ia,2458992.481406926,2.653669176106511,2.277650709888197,12509.708127390506,0.5817252264716495,tns
ZTF20aazgtmp,1243232043715015009,SN Ia,2458985.311963916,2.1137705315971966,2.250279982629744,10940.759611762704,2.2931799189442788,tns
ZTF17aaapufz,1243249493715010000,LBV,2458972.230056603,9.999996659156311,0.4677631864423647,36933.832742965846,138.85578865283915,tns
ZTF20abbozif,1246306191915015004,SN Ia,2458998.4211728363,3.391673409479533,2.635442844641513,11938.01349200174,0.1520494908416768,tns
ZTF20aazpyhy,1246398841315015005,SN Ic-BL,2458987.205619648,1.332137178370454,2.2753672495217487,7313.097373039537,3.916385350667372,tns
ZTF19acrurqp,1233476152315015016,Varstar,2458968.876660171,2.1149369053239666,2.0160814993522997,3179.9095403496785,32.55807010637234,tns
ZTF20aaxcbvg,1233315092515015013,SN Ia,2458964.316352018,1.065153317127591,1.7564666682046068,7074.141076354215,0.9899203566805508,tns
ZTF18acaxfpa,1237409585415010010,CV,2458962.987513252,9.99998972396909,0.0009268081535327,30228.291894257625,37.098052041625095,tns
ZTF20aazhzna,1244267754715015012,SN Ia,2458984.3785055107,1.378895290971519,2.312500081109458,6718.053691483365,3.649777645559056,tns
ZTF20abavxpk,1246394284815015005,SN Ia,2458992.1253799293,1.6210056235443815,2.607571445653857,4430.835774579455,0.1117225765369507,tns
ZTF19aaqyxws,1230488423015015007,Varstar,2458952.283873174,4.790126356169996,8.334878766079688,2882.949966641283,0.7861881825431353,tns
ZTF20aazoqmh,1246423290915015015,SN Ia,2458985.90533222,2.649783618005085,2.4332534757832023,12972.085625415357,0.6682074770546853,tns
ZTF20abatfzl,1246266574615015002,SN Ia,2458995.4364469657,3.5914021808782586,3.806576292330473,13984.418065939662,0.2038756899731048,tns
ZTF20aapchqy,1246372144115015000,SN II,2458952.899494602,1.716686768557356,12.083771306442545,4227.61024557381,0.2667650219371964,tns
ZTF20abbhyxu,1246400250215015003,SN Ia,2458998.2129649487,1.9538859900634933,1.6299126822694985,8221.952249055537,1.6004288615168696,tns
ZTF20aazkjfv,1244247872215015014,SN Ic-BL,2458984.2370946514,1.5517229064749325,3.413824985516241,4449.739632457046,2.6840374385973798,tns
ZTF20aazxvox,1244230355515015029,SN Ia,2458986.385343497,1.723446728112929,1.014918259966366,8829.587254395563,1.4423660372794609,tns
ZTF20aaurfwa,1244352621315015006,SN IIn,2458962.5739442566,1.3513829512704645,9.70448877180235,6586.608053408516,1.9145074429965985,tns
ZTF18aahvndq,1246260913415015000,SN Ia,2458982.497256752,1.5868901902426402,1.893243198774549,8621.359188810518,11.553048404078366,tns
ZTF20abavnaw,1246402590815015000,SN Ia,2458993.9508696897,3.5439398861659,2.0968115504093703,15408.072798488796,0.2690873848585271,tns
ZTF20aacbwbm,1243233440615015007,SLSN-II,2458709.612943467,1.3795241774860358,6.564695947259651,8764.596436428095,4.491761413123897,tns
ZTF20aaznpor,1246372612615015003,SN Ia,2458804.889823324,1.302001684866514,3.8644073741743656,7931.259044834774,12.80989733827011,tns
ZTF20aayvmyh,1245202402515015021,SN IIn,2458981.6647891654,1.7268568492719605,4.814367874753137,8989.02748071067,0.8910063289734883,tns
ZTF20aazpphr,1246400254015015006,SN II,2458992.5893691964,2.5552409903853905,5.748964196200074,11561.521263292878,0.2373388832362402,tns
ZTF20aazpnxl,1246411095315015035,SN Ia,2458987.9162323275,2.345382132604109,4.579941824854179,11091.225580298971,0.0968884741793624,tns
